"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21","V22","V23","V24","V25","V26","V27","V28","V29","V30","V31","V32","V33","V34","V35","V36","V37","V38","V39","V40","V41","V42","V43","V44","V45","V46","V47","V48","V49","V50","V51","V52","V53","V54","V55","V56","V57","V58","V59","V60","V61","V62","V63","V64","V65","V66","V67","V68","V69","V70","V71","V72","V73","V74","V75","V76","V77","V78","V79","V80","V81","V82","V83","V84","V85","V86","V87","V88","V89","V90","V91","V92","V93","V94","V95","V96","V97","V98","V99","V100","V101","V102","V103","V104","V105","V106","V107","V108","V109","V110","V111","V112","V113","V114","V115","V116","V117","V118","V119","V120","V121","V122","V123","V124","V125","V126","V127","V128","V129","V130","V131","V132","V133","V134","V135","V136","V137","V138","V139","V140","V141","V142","V143","V144","V145","V146","V147","V148","V149","V150","V151","V152","V153","V154","V155","V156","V157","V158","V159","V160","V161","V162","V163","V164","V165","V166","V167","V168","V169","V170","V171","V172","V173","V174","V175","V176","V177","V178","V179","V180","V181","V182","V183","V184","V185","V186","V187","V188","V189","V190","V191","V192","V193","V194","V195","V196","V197","V198","V199","V200"
"1",14.744,14.729,14.687,14.653,14.974,15.399,15.159,15.013,15.545,16.388,16.908,17.073,18.333,19.139,17.506,15.152,12.649,8.924,5.8545,1.493,-4.4629,-7.3625,-6.3837,-1.8697,8.1473,15.667,12.559,3.179,-5.0471,-6.6066,-10.695,-14.001,-13.577,-15.09,-18.37,-15.072,-9.9419,-12.106,-14.535,-16.833,-16.073,-14.903,-15.967,-15.181,-13.42,-13.277,-13.377,-13.274,-14.814,0.57904,11.723,11.382,16.961,39.05,-13.379,-47.648,-36.891,-10.998,-3.6332,0.3261,5.4208,9.1621,9.4183,9.071,10.978,7.9439,3.1432,2.7736,2.8452,4.7958,3.7048,1.6822,3.0958,3.3977,3.7235,3.9167,5.5058,4.9761,4.1837,0.41225,-4.8799,-3.6319,0.32943,4.8476,8.0026,8.633,5.8052,3.3386,0.85682,-1.789,-3.1481,-4.431,-8.3322,-10.781,-9.8944,-8.4131,-4.4284,2.6815,17.439,23.369,-0.3095,-0.28568,-0.17622,-0.075766,0.0086275,0.23408,-0.38286,-1.0244,-0.79245,-0.24522,0.40746,-2.0265,-4.1896,-4.0495,-8.4248,-11.993,-11.729,-10.835,-9.4666,-9.3817,-6.4917,-1.4105,-1.852,-8.241,-22.483,-33.662,-36.153,-30.552,-16.131,-7.1828,-3.7164,-1.8583,-1.5701,-4.6054,-12.036,-18.895,-22.227,-21.922,-20.07,-18.033,-15.407,-13.82,-7.6688,-1.1173,1.3198,2.4519,5.6118,14.443,20.332,19.651,12.019,16.219,27.857,-3.2001,-9.5157,4.164,30.529,28.346,25.033,16.992,12.565,3.0213,-3.0788,3.4749,10.682,10.362,4.7689,-0.53436,-4.2882,-4.6821,-0.18714,4.4905,4.2066,3.2661,2.8628,3.5927,4.5588,2.9168,-3.0656,-7.8479,-7.4939,-8.0469,-9.2821,-8.681,-8.3033,-8.2579,-7.7361,-4.7452,-1.2365,-0.098921,0.27605,1.168,1.6547,2.0282,2.3417,-0.68379,-5.9618,-8.8061,-22.266,-30.651
"2",13.721,13.705,13.664,13.629,13.951,14,11.925,10.452,10.984,11.827,12.302,11.654,12.252,13.735,14.719,15.911,16.537,16.141,16.9,16.687,12.02,6.5413,1.8193,-1.8527,-5.7312,-9.0456,-10.094,-9.5049,-8.8111,-14.567,-19.602,-19.408,-19.029,-18.124,-12.289,-6.558,-8.8561,-11.837,-14.81,-13.435,-9.4333,-8.1324,-8.3515,-13.663,-19.084,-22.437,-24.898,-23.883,-19.391,-15.626,-13.874,-7.668,3.0736,36.525,-1.9161,-53.63,-51.823,-18.728,-10.35,4.2861,15.22,18.046,17.626,16.032,12.238,7.6396,7.8801,10.184,13.167,15.965,18.055,14.164,8.1355,7.6214,5.7201,5.9606,5.0152,1.7993,1.9943,3.5741,4.9739,3.7976,1.6871,-0.78861,-2.753,-4.4786,-7.4881,-10.344,-11.081,-9.5987,-5.0744,8.3874,20.729,17.692,8.0262,1.9476,-1.387,-1.0539,71.182,95.237,-1.8372,-1.8134,-1.7039,-1.6035,-1.5191,-1.3692,-2.2961,-3.067,-2.8351,-2.2878,-1.5285,-3.9061,-6.1367,-5.8926,-5.6568,-5.6832,-6.0076,-6.4581,-7.4352,-8.6985,-16.949,-22.536,-21.072,-20.664,-19.652,-15.677,-7.8863,-1.4041,-1.019,-4.6363,-8.8276,-14.13,-23.933,-36.005,-39.674,-39.142,-39.06,-35.454,-28.233,-16.52,-8.1355,-4.8069,-2.8342,-0.052526,2.5631,2.8747,4.106,10.895,17.857,19.629,21.536,25.579,24.986,2.1339,13.58,23.105,37.248,35.768,34.765,22.543,8.7633,0.4164,7.2442,21.369,22.462,11.443,6.3712,6.9765,11.135,17.18,20.985,18.853,13.744,9.9542,4.2684,2.2534,0.74629,-1.7019,-0.74719,-7.2365,-11.81,-10.707,-10.308,-9.3609,-8.4178,-7.1741,-4.278,-1.6244,-1.3724,-3.5686,-13.956,-27.154,-33.347,-34.848,-31.887,-19.82,-3.2913,4.3558,-9.1167,-14.852
"3",12.636,12.62,12.579,12.545,12.866,13.229,12.116,11.381,11.913,12.186,10.421,10.028,9.8867,9.2033,9.7246,5.5663,-0.2354,-2.8222,0.024869,7.3199,17.969,24.341,22.586,13.679,3.9377,-4.2906,-9.1325,-9.1977,-8.6162,-8.246,-7.6406,-8.3261,-7.2992,-4.3502,-3.8107,-5.3865,-9.5318,-13.953,-15.298,-15.208,-14.28,-12.084,-10.643,-8.2328,-5.9557,-4.4487,-4.3205,-6.1033,-8.6433,1.3441,5.01,-0.017174,3.5615,15.767,-38.034,-48.687,-24.454,-12.616,-8.5421,-1.4696,5.1412,5.7369,2.8522,2.8581,4.9398,6.1942,10.516,14.07,15.802,16.812,11.785,2.7209,-0.23775,-1.1405,0.27954,2.3655,3.8628,4.6838,4.4721,1.9544,1.4568,2.8968,3.0613,4.1902,4.4938,3.8977,2.8317,2.7426,1.7108,-1.1339,-3.3471,-4.6908,-7.6444,-8.1245,-4.8417,-1.5692,2.3606,7.8187,30.378,38.592,-0.83872,-0.81489,-0.70544,-0.60498,-0.52059,-0.26372,-2.0494,-3.6532,-3.4212,-2.907,-5.0624,-6.7668,-5.8728,-5.0831,-4.4688,-8.1885,-10.052,-8.3295,-10.274,-14.931,-17.519,-17.6,-19.151,-18.975,-16.398,-14.43,-10.564,-6.1784,-5.3884,-6.3748,-7.0108,-6.0773,-4.2464,-1.8205,-0.0011445,-1.3238,-6.1824,-11.083,-13.238,-12.723,-8.9699,-3.3628,0.52762,2.3079,3.3986,3.376,4.2518,11.203,15.343,12.834,20.617,28.717,24.188,13.96,2.3126,7.9378,22.864,15.768,20.079,17.825,9.5486,5.5147,10.937,13.322,1.2211,-5.3328,0.95585,6.1823,5.8292,6.7687,8.5196,1.8054,-5.0192,-8.1573,-8.2877,-3.4838,0.16348,-0.38286,0.33033,0.62655,-2.38,-4.667,-4.4197,-4.8291,-5.2542,-4.8286,-4.3351,-2.8559,-1.1592,0.49446,2.1301,3.1137,1.3251,-3.0443,-7.455,-11.531,-13.64,-12.17,-34.073,-48.298
"4",7.3283,7.3126,7.2715,7.237,7.4925,7.4233,7.4287,7.8279,8.0854,6.7494,6.245,7.4258,7.1077,7.3714,8.6145,9.3708,9.7931,8.7859,8.8392,8.0986,6.822,6.9649,1.267,-4.5357,-6.4334,-7.163,-5.5122,-6.6181,-11.455,-13.856,-12.945,-12.981,-10.512,-7.6398,-8.3314,-8.1201,-7.9259,-6.8704,-6.301,-7.5648,-8.1674,-7.0139,-6.4749,-6.6079,-5.4792,-6.7134,-9.1064,-11.961,-14.819,-17.918,-20.046,-15.297,-3.9174,2.4925,-19.231,-34.184,-21.249,-8.3652,-9.9928,6.5855,17.07,23.151,22.428,19.659,9.8345,-0.53718,1.6518,2.3488,0.5165,-2.0696,-2.3541,-2.3837,-2.1648,-2.4914,-3.1888,-1.9279,-0.27845,-0.40398,-0.94376,-1.881,-0.62785,2.1673,2.826,2.7725,3.4377,4.0471,5.6272,7.3882,7.1967,6.0181,3.4227,1.8179,1.7711,2.1962,3.2979,4.0802,5.4775,23.523,40.922,52.578,-3.1268,-3.103,-2.9935,-2.8931,-2.8041,-3.5148,-3.8349,-3.392,-3.1233,-3.8806,-4.2893,-3.39,-3.5204,-4.0186,-3.6105,-3.2486,-3.2791,-2.8997,-3.15,-3.4428,-3.5297,-4.2757,-7.0765,-8.6301,-6.9894,-4.5894,0.54925,6.4941,0.80252,-16.486,-27.458,-26.965,-22.252,-18.443,-14.379,-9.9724,-7.019,-6.9031,-7.2659,-6.148,-5.4812,-4.3463,-1.3781,0.93519,1.7093,1.6562,3.6559,6.9759,10.062,14.202,19.895,27.039,26.125,21.211,19.21,24.219,35.366,22.15,5.5431,-3.521,-13.206,-16.319,-0.69587,23.822,26.096,12.995,8.4495,3.732,2.2829,1.0816,0.5429,0.63801,-0.71933,-2.0332,-2.8775,-2.095,-1.9623,-2.8811,-2.1506,-0.74773,-2.6806,-4.3589,-3.6235,-2.8205,-2.1927,-1.9812,-1.6217,-2.5349,-4.3511,-5.1889,-4.5264,-2.599,-1.8694,-2.5495,-3.1783,-3.5862,-3.1289,-36.107,-51.301,-51.77
"5",14.602,14.587,14.545,14.511,14.541,13.38,12.611,13.01,13.028,11.589,11.226,11.99,10.268,9.0812,2.3297,-4.4264,-9.4895,-15.28,-16.428,-16.59,-16.514,-14.806,-12.61,-7.339,-2.8517,-3.6862,-4.6687,-5.3627,-5.3826,-2.7811,0.25612,0.74415,0.55409,0.058962,-0.65938,-1.2777,-1.0415,-1.1036,-2.7053,-4.8052,-6.4385,-8.2271,-10.197,-10.825,-9.5131,-8.9323,-7.3781,-9.6376,-15.406,-20.716,-19.616,-9.0057,2.1068,20.725,1.2964,-17.995,-12.937,-5.7904,-3.5495,-0.14484,4.24,7.1517,8.4678,9.5328,11.259,9.7394,8.597,11.113,13.421,15.236,9.2483,0.77167,0.96274,0.44211,-0.24211,0.18731,2.3145,2.008,1.2701,0.049714,0.94029,3.1897,4.6403,3.7327,0.69831,0.002118,-0.44475,-0.76647,-0.59354,-0.7779,-1.276,-1.6459,-1.5702,-1.0626,0.44569,2.6374,5.3215,9.2593,32.012,40.021,0.031091,0.054918,0.16437,0.26483,0.22603,-1.2218,-2,-1.5571,-1.4103,-2.6843,-3.4144,-2.5062,-4.0669,-5.5379,-10.591,-13.153,-6.4254,8.0093,20.094,18.841,11.296,3.6069,-3.4881,-8.8984,-14.041,-18.627,-19.708,-19.311,-19.374,-18.865,-17.655,-16.298,-15.368,-13.83,-10.561,-8.1028,-6.0528,-5.5738,-6.3352,-6.2208,-6.4686,-7.3038,-5.5531,-3.1437,-1.7869,-1.0659,3.2527,8.2772,10.322,13.769,20.289,22.167,21.62,11.075,14.386,11.311,14.392,13.796,9.9657,11.884,9.1379,1.7896,-2.6072,-1.4846,1.3447,5.2547,8.7884,10.899,12.108,10.991,10.002,9.3803,6.5561,4.131,2.4559,1.8392,1.9739,0.58823,0.95462,1.9804,2.2437,2.5212,1.7459,1.3673,2.8276,3.8556,4.8865,4.1396,2.0454,1.3634,0.88957,0.17773,-1.1207,-4.4329,-8.1581,-10.336,-10.954,-8.5465,-32.214,-47.038
"6",14.503,14.487,14.446,14.411,14.733,14.968,13.079,11.804,12.336,12.454,10.181,9.3338,10.378,7.491,4.2326,2.2617,-7.4267,-15.202,-5.4378,15.584,29.913,29.734,29.946,23.511,12.281,1.238,-4.9704,-7.7978,-9.1705,-8.444,-8.0931,-7.4003,-6.6131,-5.7413,-4.6691,-4.4089,-7.201,-13.78,-19.301,-19.495,-17.246,-14.787,-11.95,-10.778,-10.015,-10.961,-10.091,-9.134,3.3311,11.871,10.76,4.8433,6.28,27.382,-22.814,-51.711,-48.968,-12.86,-0.19986,6.131,8.9487,10.968,11.019,10.974,7.5354,0.80738,1.86,3.9143,5.8864,7.8361,7.4539,6.0481,6.2591,5.9954,6.5128,6.7445,6.5664,6.0045,5.0179,2.1765,1.4998,3.174,3.9773,4.8269,4.0045,4.0914,3.9747,1.4726,-0.52104,-2.0758,-4.6491,-5.9348,-5.9381,-10.046,-10.133,-3.7612,1.748,6.5762,19.261,26.013,-0.30912,-0.28529,-0.17583,-0.075379,0.0090146,0.19181,-1.9974,-3.804,-3.5721,-3.0879,-4.0943,-4.779,-4.1021,-8.4111,-11.251,-9.2718,-10.924,-12.221,-16.499,-16.212,-8.4887,-10.997,-14.026,-16.948,-21.789,-21.033,-13.276,-8.657,-5.2491,-4.2514,-5.7298,-6.524,-4.9808,-2.4055,0.22882,1.1448,-1.8505,-10.076,-16.062,-15.096,-11.7,-6.9319,-1.6391,1.2204,2.5702,3.1143,10.772,17.695,16.48,12.048,17.515,27.727,22.964,-7.9257,2.0934,11.869,18.963,15.596,16.984,12.791,5.801,2.836,11.604,20.524,15.547,2.5461,-1.6239,-1.262,-1.2323,-0.68429,1.8288,2.5158,0.34008,-1.9979,-2.7927,0.44225,2.4708,0.54816,0.56206,0.38404,-0.4311,-0.56172,-2.6973,-4.3639,-3.682,-3.2568,-3.0625,-2.3606,-1.0322,0.96213,3.4902,4.6415,3.6343,-3.8561,-14.362,-21.543,-24.04,-21.578,-32.463,-41.902
"7",12.395,12.379,12.338,12.304,12.625,12.902,11.893,11.317,11.849,11.996,10.712,10.671,11.499,9.8872,8.73,5.061,-0.60358,-3.4488,-2.4392,-0.73445,2.2629,9.689,18.829,24.71,21.26,9.3545,1.3943,-2.3774,-6.4012,-8.9852,-8.3653,-6.6872,-4.4413,-1.8909,0.87906,2.7095,2.1575,-1.2507,-7.4439,-14.558,-18.966,-19.074,-16.349,-12.368,-8.8259,-6.2699,-6.347,-8.2374,-6.5507,4.7078,9.807,8.8849,10.485,28.995,-13.977,-48.714,-45.579,-5.4145,0.9128,6.5177,10.884,11.095,10.547,4.995,-0.31036,2.4326,5.3349,7.7807,5.9481,3.2645,6.1683,-11.398,-34.502,-28.489,-13.304,-6.4515,0.55153,2.6807,5.4196,6.4654,5.9997,5.7989,4.5016,2.0865,-0.88697,-2.9915,-2.0752,-0.36813,0.56842,-0.089541,-2.2622,-4.3143,-3.4366,2.4343,10.613,15.79,12.041,5.1003,6.2491,11.025,-1.4285,-1.4046,-1.2952,-1.1947,-1.1103,-0.86712,-2.6421,-4.2497,-4.0177,-3.4981,-4.409,-5.1112,-4.4282,-6.5043,-8.2082,-10.494,-11.16,-9.1605,-10.046,-12.42,-13.967,-16.887,-21.76,-25.46,-26.13,-21.524,-14.189,-11.988,-15.392,-17.195,-13.514,-6.3748,-0.64878,3.2485,5.6628,6.577,6.2191,4.2855,0.67347,-3.4742,-6.0465,-5.1209,-1.3199,2.265,4.4721,10.329,14.297,14.645,18.751,15.408,12.985,19.385,14.769,-28.606,-6.0939,7.6539,22.931,27.358,22.438,9.2715,5.4167,10.332,16.033,16.411,13.306,14.167,14.724,14.806,12.796,10.57,-4.0818,-21.641,-24.006,-17.523,-6.8082,-4.6626,-2.8819,-2.6139,-3.8859,-4.9343,-3.6102,-2.9261,-2.9979,-4.8975,-5.9835,-4.5979,-4.6023,-6.0023,-5.9396,-4.4231,-3.7172,-6.1172,-11.219,-16.605,-21.645,-23.463,-19.687,-12.916,-15.287,-19.178
"9",7.8814,7.8658,7.8246,7.7901,8.1115,8.4767,6.4377,5.1326,5.2003,1.5216,-1.7969,-2.9981,-0.55452,6.2058,16.238,26.377,27.582,29.704,36.749,28.937,9.9589,-1.5151,-7.1045,-8.1093,-7.2389,-6.9319,-7.4239,-8.8817,-10.065,-9.2867,-7.2116,-4.026,-1.9303,-2.099,-5.0216,-10.287,-14.258,-13.899,-13.001,-13.855,-14.031,-13.189,-11.373,-9.3567,-6.932,-6.6139,-8.15,1.1291,14.176,5.7999,-14.024,-13.533,-3.5537,8.9576,-48.861,-57.003,-25.778,-13.806,-5.5508,6.7187,13.354,11.685,7.9196,4.8651,2.7393,3.6122,6.5171,9.2779,11.716,13.594,16.145,3.2122,-27.553,-26.155,-8.8779,0.12267,5.069,7.7487,6.0365,6.1225,6.5843,6.3273,8.1649,7.8002,6.8423,6.0633,3.9326,2.6792,1.4672,-0.57691,-1.8193,-1.9325,-0.84833,1.4728,3.8929,5.0185,6.6732,12.469,40.965,57.463,-2.7048,-2.681,-2.5715,-2.4711,-2.3867,-2.0374,-5.2667,-8.081,-7.7434,-10.795,-12.624,-10.522,-9.4603,-9.5853,-4.7887,2.1242,1.6674,1.6517,-6.0613,-16.746,-17.517,-8.2092,6.999,13.086,8.5396,-0.044314,-5.4238,-7.8009,-9.4297,-8.6116,-3.8795,1.3935,3.9891,3.4982,-0.34672,-8.4125,-14.693,-15.69,-14.104,-10.6,-8.1659,-6.2934,-1.4846,2.3496,3.8435,4.0763,6.3692,18.212,16.828,9.1154,19.275,32.165,34.961,19.57,-4.4578,3.1036,27.045,20.763,21.215,14.776,5.3949,11.726,24.278,23.248,10.835,5.7468,7.3372,10.531,13.315,16.292,10.738,-11.956,-24.919,-26.644,-16.91,-1.9651,-0.25443,0.18392,-0.27936,-2.6786,-4.4828,-4.1563,-3.9166,-3.7778,-4.312,-4.9799,-4.3978,-3.6935,-3.3576,-2.9718,-3.035,-4.4009,-7.093,-9.9907,-12.121,-12.739,-11.973,-26.081,-47.985,-57.015
"10",9.4166,9.4009,9.3597,9.3253,9.6466,10.068,8.3014,6.7671,7.2991,8.1423,8.8852,6.5927,5.8097,6.2083,6.0125,6.6362,4.3755,2.1204,6.9483,16.76,39.766,31.718,22.64,18.07,6.0188,-2.2547,-4.3005,-4.1475,-3.2702,-9.6759,-15.74,-16.852,-17.529,-16.176,-10.663,-5.7336,-4.1292,-3.9622,-9.0283,-15.859,-17.784,-15.64,-12.293,-9.6101,-8.7159,-7.4886,-1.385,0.83465,2.3864,9.3036,10.416,7.377,10.624,30.861,-29.395,-55.835,-40.695,-0.66488,8.0725,12.971,12.332,9.3168,9.3537,5.8991,1.3025,4.0293,6.059,5.5781,4.4222,5.487,7.3475,4.3039,-13.774,-24.83,-11.589,-1.1614,3.2522,6.2229,5.3601,3.9346,4.7886,6.1732,4.6314,3.0655,1.8978,1.2644,2.4856,2.2877,1.7314,0.93202,-1.1205,-2.551,-4.031,-3.8641,-2.1231,-3.0896,2.1251,8.1822,15.527,21.131,-2.4395,-2.4157,-2.3062,-2.2058,-2.1214,-1.7972,-2.0892,-2.4449,-2.2129,-1.6657,-0.79332,-3.7145,-6.3971,-5.6067,-4.5304,-3.9903,-4.0362,-4.3714,-35.184,-37.182,-7.484,-11.396,-14.24,-15.357,-13.957,-10.121,-4.6621,-2.1418,-1.0861,1.203,0.51938,-6.9732,-10.769,-4.4076,0.79878,1.6832,3.7698,4.6168,1.5834,-3.0349,-6.5108,-6.3667,-2.2571,0.44297,1.6439,1.9101,10.97,18.48,13.529,9.0787,16.668,18.791,8.7047,-15.265,-3.1179,13.928,30.37,17.403,11.125,6.195,9.2057,18.164,21.961,18.411,14.66,14.169,9.4891,1.8396,-4.7275,-6.7018,-5.3917,-5.6171,-11.567,-14.826,-15.827,-8.3439,-1.1419,-1.0121,-0.74346,-0.098064,-1.8626,-3.8044,-3.8968,-3.3449,-2.5055,-1.8569,-2.0133,-2.6199,-3.8721,-4.6212,-3.9949,-3.7089,-2.9201,-2.7379,-3.9427,-15.473,-27.475,-26.552,-36.708,-46.976
"11",10.147,10.131,10.09,10.055,10.377,10.772,9.4146,8.7524,7.4505,5.4675,4.7477,-1.3687,-8.3951,-9.9309,-4.1749,8.9328,23.643,32.57,33.737,36.024,28.593,15.422,5.1425,-1.6522,-6.1864,-9.8478,-9.7229,-9.4315,-9.8332,-10.194,-9.3461,-7.9006,-6.8155,-5.9879,-4.7685,-4.4488,-7.9284,-14.269,-18.859,-17.138,-13.573,-13.779,-14.398,-16.03,-17.231,-17.18,-11.85,-6.9332,-2.0232,9.4679,9.5567,-0.70135,3.6098,15.824,-46.362,-58.072,-26.283,-6.9573,3.5083,9.1673,13.767,14.786,12.681,12.924,9.7374,3.4383,5.7521,8.5301,11.413,13.746,16.534,-1.193,-32.56,-27.554,-5.6689,2.0294,4.9003,5.6008,5.2027,3.0456,3.3981,4.9037,5.5109,5.1581,2.9744,3.1666,2.7261,1.7994,0.49832,-1.7471,-3.1156,-3.1914,-2.3296,-0.52294,1.4002,2.2975,3.6523,3.9975,25.862,35.346,-2.6685,-2.6447,-2.5352,-2.4348,-2.3504,-2.0456,-7.127,-11.228,-10.791,-9.807,-8.5018,-11.289,-11.748,-9.0853,-10.553,-13.648,-9.2226,-1.5141,-2.8571,-8.6414,-15.201,-15.809,-12.634,-8.755,-7.3444,-4.7398,-1.9915,-3.1034,-5.5355,-7.0098,-6.4975,-4.5465,-2.6049,-0.062019,2.847,3.6622,0.31303,-6.331,-9.6894,-10.584,-11.077,-9.7335,-8.2418,-4.4785,-0.79711,0.81802,13.105,21.909,17.299,8.6373,20.28,37.128,29.783,11.627,0.66074,-1.6829,21.684,26.635,20.103,13.857,6.3102,4.7633,15.724,21.401,13.274,2.1058,2.1236,4.8958,8.1053,11.688,7.5864,-12.604,-21.333,-16.41,-6.9142,-2.8346,-0.75084,-1.6559,-1.1961,-0.96032,-1.4451,-1.7786,-3.1513,-4.0622,-3.2903,-2.9957,-2.5979,-2.7452,-3.2976,-2.6945,-2.6357,-3.969,-6.3635,-8.7494,-10.438,-10.962,-10.277,-12.032,-45.244,-63.399
