"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","Comp.1","Comp.2","Comp.3","Comp.4","Comp.5","Comp.6","Comp.7","Comp.8","Comp.9","Comp.10","Comp.11","Comp.12","Comp.13","Comp.14","Comp.15","Comp.16","Comp.17","Comp.18","Comp.19","Comp.20","Comp.21","Comp.22","Comp.23","Comp.24","Comp.25","Comp.26","Comp.27","Comp.28","Comp.29","Comp.30"
"DSCN2812",6.27685581116462,-3.79781720518842,-2.42290730147233,-0.821342788178072,-0.76578505964435,-2.32363240156533,-0.568289500239444,1.09044433053985,1.41266480506932,0.263461347758491,0.639641379429744,1.09764536817283,0.713738323207257,-0.450128516202302,0.809533913191404,-286.261970944154,12.5559906971077,18.8378754876175,-3.0333595821689,7.35127878464202,0.592519287987611,-0.529652976507548,-4.17423971850367,1.20621088500657,-1.55952985879733,-3.04092686243528,-0.824131065346625,0.768099062013973,-1.16577813108432,1.00457728795373,-187.293684162789,-6.96895365103007,45.2096020811456,23.8440872154511,5.71073738019587,10.2101583875392,8.19299919546162,0.511416775445319,-1.88495370957965,7.62419614165662,-5.75672750629731,2.23561618926661,3.07344151846777,-2.69343580866644,0.960868372870205,-10.8777532354282,5.58684402773549,-5.97732935510417,8.5697051354788,-3.92773671042276,7.14111938802897,-2.14897428488852,3.10258430770133,-1.53675385659897,3.19904240434769,-2.13695246161807,1.33564645485129,-0.815974463483594,-0.394133020882814,-1.46181353872252,33.1475246925353,-101.452024028831,0.800368810128669,53.4342028073434,1.99188291989927,14.968354598747,-25.364553636046,-13.2912631522399,-4.20872740181291,3.98154674436034,-7.42673424824961,-4.38114547577358,3.08597688398995,-0.946529632363931,-3.64858472161383,-6.01270764691031,0.048211683168657,5.2150675279639,9.12713916628991,-5.30160036379963,1.53528838724411,3.928526006916,0.677600002070283,1.19292383032611,1.92240963454071,-0.0312906488163339,-1.47759104279637,1.65269611007922,3.00411910082123,2.83521895389455
"DSCN2816",19.1866159034073,-3.5212134342406,-3.24727285730488,-6.23767875148578,2.01110739752775,-3.46941540352875,0.144572808592638,-3.18211986658379,-0.00219302776818186,-2.15082885280214,1.21583658937775,-1.42125271122001,0.219850700566675,-2.59404239488077,0.547866224854007,-259.673747783933,7.58224526000366,18.5750208926873,-5.0696609114879,14.9716119437259,0.776827740199769,0.398167315625421,-1.14137512787424,-1.11829008147313,-4.20695231607945,-0.0979840442955647,-1.03432014164193,0.178233665126049,0.401772600169467,-0.256491371398594,-216.37549887316,-6.31679333877906,57.2255228549775,16.0101500418224,12.3810621943005,16.1662344111498,-0.160414421357101,4.70097310406563,-0.289409162853121,4.14508109914897,-2.88488646823643,5.35084340383012,-1.8751376164144,0.139159090851602,1.2124784169895,-38.0733824521752,9.33313111264029,-11.9011552156602,6.42592613068955,-9.25029612696355,5.82693630747931,-5.01450424162019,1.8005582172275,-0.919219895916028,-1.80002296873127,1.14448577218209,-0.694298750105119,-0.521182975540563,1.07531929138257,-2.32520028760109,41.3816626347564,-82.2304959877142,-28.5661820160792,35.2258351830016,4.99499526933869,4.0545405336039,-6.40273680835751,-24.7970938853779,8.53960709288141,12.228110094656,8.37918621436593,-7.78526700203332,5.1798507641187,0.71808645899748,6.65583738674127,-7.34763691584545,-6.67932096658447,-0.254263305879391,9.5207336768464,-9.5758644126157,-2.20622188892781,2.63362623365062,0.747583252072521,-6.24228963997564,7.82321731153813,-0.65747999527641,-1.06199761378751,-0.78314287487035,-0.154521838862528,1.76957115451189
"DSCN2824",54.1017223517442,-17.9826047952436,1.92402260684748,-14.3482160829165,-18.7608760204222,2.67808544391321,-0.898490964878049,1.1241899268786,-2.14354203186478,0.632458480968976,0.625724958874645,-1.94177367269473,0.321714336713193,-0.14810135051898,-0.48876567990875,-209.783208982142,7.24231520031847,6.97968529853416,2.21286567739595,-9.42700994348842,2.21677082466289,-2.8611160240508,-0.800954815416337,1.96566243001024,-2.31833911372975,2.09045487062851,-0.976829363630164,0.33768045440833,-0.0246640794271074,-1.36156327840472,-219.336728843846,5.04313739110767,21.9935930128984,-3.75910706430613,-7.31525856505506,-3.90687974362072,-7.860739576102,-1.38184261528237,-3.90862607122649,0.99008323652914,-0.947215719843061,1.67437144634233,0.729895239709827,0.0244354092672012,1.31957789685352,-65.8741611586822,13.1934632439219,45.1971100170218,4.50153359601778,23.641117299731,-2.43257909253425,3.53814907566368,-3.68624704401326,-0.587188826994007,-3.3757293955411,-2.48978301652555,-0.0812150720054999,-1.85380613412294,1.02077939650782,-0.98449937071449,24.8183018205126,-12.4681595043726,-9.78567642862027,-33.8721730308775,20.9313166515632,-17.2332759432014,9.77033134505873,-1.02341868038843,-13.9395980973543,-0.54803551322111,0.101363195981173,2.72575159184233,8.2441640505026,13.3761355355356,0.287351824542568,0.846248792393035,0.0163779463912016,8.60571017744686,3.80396038242698,-6.34317885786109,2.00837712506749,6.58483039785956,0.655822917989551,-1.02340936577859,0.197443166779835,-0.192732988554689,3.90393294335343,-3.52522662759072,-0.494491810211203,2.57820966605321
"DSCN2828",24.1476484646593,-9.31338028938909,-8.78450671686091,0.874851721816578,-4.71140760440365,-1.67115930948827,1.51438210733381,1.13517953958319,-0.429923531823099,3.22920506485751,0.199139514436649,0.263888786271386,0.241316826070054,-0.126862677878411,-1.48444868689073,-278.900992924865,16.0930407480207,22.9188580133753,-0.733922158173608,7.28085976811542,-0.0950587615594645,-1.67316793912422,-1.76043431062867,1.62923693580552,0.13087418226414,0.349699578206238,-0.068327961911253,0.366811105328143,-0.160362214252412,0.345873471017645,-187.561577003635,14.9088846226611,47.2194356862216,13.0263526012191,8.09018432106964,3.47322485687558,5.63836955422569,-0.941481896661074,2.70370606524859,0.968187389921851,0.493733263486491,0.466770448282165,2.1808212446418,1.61188102833482,1.39848592288736,-27.8945149050791,1.53097745783902,6.9490810862882,12.2257549005001,-4.03542312096447,12.1229728643515,-2.15414413670121,1.49886955241168,-0.712441536330938,2.79780811082491,-4.02355674550599,3.0870105330759,-0.553291418771105,-1.38428442705134,1.68843068986992,37.6672818658597,-76.5618541474114,12.1666284271628,42.6634104479148,-7.47986786259683,2.66783434436908,-15.3524257827063,-9.50095395821912,5.31001128828598,-1.60920678503818,0.152324302235978,-9.21718355433653,3.93746263116156,-2.37679444077661,0.172604972984412,-2.01295066401792,1.22674454562303,-2.09899418114645,3.4823956998516,1.84675599977522,0.221929220616283,-0.448574464203701,5.38123330269982,2.54446103369534,-4.83290578352509,-2.33427303885375,2.16843879154669,2.95024033009324,1.4088789069421,0.485736834604106
"DSCN2832",-0.0820970217924938,-5.72609652293441,1.93713477773214,3.46440316053698,0.348186501086086,-1.35261644214677,-0.442517267270094,3.48333252403153,1.41238876659594,2.26343759249803,4.10130009851712,-0.673666500131491,0.615580168404919,1.81900134865466,-1.70063257336116,-285.590099287324,6.60661685582076,17.9001549883069,3.26382444149908,4.02280305767905,2.94378963436541,1.06440153962096,-2.87062356108809,0.0996608069857864,2.02664740151782,0.802823596342405,0.738855425923766,-0.890629017614938,0.159982858289768,0.175660415971156,-194.996288911383,-8.23934209579803,48.872996513396,19.4431562743369,7.25031780976017,4.60610306210654,7.73994413205115,-3.2355748359856,3.8379981893762,0.169019890769888,1.58530191438055,-2.27271283944955,1.31448878253152,0.959915620700092,-0.665268219758649,2.1851844542683,-4.02302480237262,9.37604426275209,20.2857457254307,-1.82154649672646,16.0170143022162,2.85178836276683,-0.761261140246042,-1.04428934232109,4.95569265770213,-7.98477877443758,5.47327501554469,-0.131291041224111,-1.80676404562921,3.62009667444604,35.3254308203457,-114.314076230535,9.98201390072289,49.3354656374017,9.55944318553849,12.2331962583309,-15.102309078997,-1.66484108495448,-12.8956881713415,1.04307478505859,-4.31422679564898,-2.92162339272663,2.27060190028588,2.71076914262516,-2.5774502664345,0.283785760813814,2.80025378339715,4.6340109479803,-6.95316322095638,2.72344276159814,-6.95313026261048,-0.294598295576235,-0.439105803974431,-1.53416703950615,-4.53484019911001,2.08172244327768,4.55910987324176,1.28582241586395,-2.09221471862551,-2.02110781748138
"DSCN2836",79.1390343541516,-39.7226265156593,-14.9434460246833,-12.21579562398,-5.47125404857273,2.70888831185592,-2.41981884267856,-1.07141170383599,-0.913679857381564,0.150748196855665,0.189447211137484,1.42478672163218,0.488033442404763,0.0187224514638126,0.792911741207518,-207.248018393665,25.7428119571418,1.6615392791488,-10.2889161784971,-12.1032407305114,5.16396083368549,-1.17418032826614,-1.64274286729325,-0.18811000899239,-0.0750874754975254,-2.11482834990329,-0.833284285324534,0.730757176125139,0.301253681836293,0.384519404766413,-186.678007154144,18.235177273931,-8.13243364757886,-10.2195794408136,-19.4425914446394,-2.34682435121598,-1.68559527322554,2.62954682085384,1.44147157581938,2.33114301318781,0.552828312911837,-0.544113200587638,1.24248740367329,-1.98332398036311,-0.236508418347043,-81.7423902217949,38.9165678325444,54.78224571132,4.25999085775119,6.53622216058574,-5.29805170266492,-3.98067252413275,-3.5035410189606,-1.21784428255053,1.13802348520575,-0.699538342890365,1.96885494699638,-0.0663637720531467,0.805417466475365,0.274386087521595,11.163385449193,39.4299961730207,9.57753239196465,-36.8985966875775,-2.72775791118273,0.29638010586251,-25.8841784950109,-6.60163719159823,-12.1924492188427,2.52020427777223,4.05483325100392,12.6502354903752,2.32056400921571,5.69335834445126,2.30848020988747,3.43387464372948,-8.0545550792458,3.09478289314383,-1.23416448674467,0.299488075220114,3.41365860059752,8.67199270511064,-1.91439553320972,0.106613978472134,-1.07553459694019,3.98200527590787,-0.946127040676941,0.649521297942915,1.85072452767367,1.83429708594419
"DSCN2848",62.3114913325496,-13.98267228827,-16.917790376048,-0.712541228716707,-12.7005401505929,-1.31542392893953,2.09489450777263,-0.725657316577496,0.0895210280104156,-2.99966051534151,-0.612200631136198,-1.07820038536979,-1.1508670445239,-2.35269808612098,0.881009658127683,-246.493680771085,11.1113212424519,13.997273693709,1.43989126995704,0.700003092055821,-2.98151580956174,0.906652014890584,2.25355157561393,0.382727561780252,1.13072459454534,0.929059425393346,-0.359864755700096,-0.108882889022153,-0.361037522086132,0.0247983601250696,-189.572389457928,0.556282595424603,31.8639982219881,-7.78145353874401,5.11095251659332,-14.0433014079746,-2.50711231190391,-3.22238017668484,-1.6087503402064,-4.26905185814752,0.260438193059052,2.15417629482412,-1.38905205998986,-0.454656109296718,2.02019319275009,-50.8545710523049,-2.55506081419645,43.6212544655758,17.2246616450206,13.2307473610164,3.27260893092722,7.00122878429581,-2.32752994082251,1.34305823584943,-5.22696986091307,4.27175867582715,-4.03501480868586,-1.25357689049226,1.59419325171212,-1.7449691284229,30.8720531497894,-24.8565904578059,29.6080778968361,4.51169144463752,16.9426828914606,-2.07855669952502,14.1951921568874,2.46534237671854,2.31440996453776,-8.13341516944403,3.27894940090534,8.03110797682573,-1.40648200849989,0.653953276026766,2.52578958106622,-2.75856542246849,-2.51561221223665,-1.29706356243136,2.47431380053968,-5.85437728561064,5.24338092449282,-3.77225079964591,1.47600871932826,0.0947538103902417,4.17148817407498,-2.07743442389523,-3.23432849736225,-0.544762415077035,-1.55501978111543,0.246002604599853
"DSCN2860",50.2937241485719,-14.1805453697955,-7.53693384699121,0.905942057804191,-8.97177110002153,-1.74045178443835,1.83267944042035,1.67224311432086,-1.81663607896762,-1.43460094363214,-0.306816795559949,0.555564382731816,-1.34813474915953,-1.05670316835269,0.47955455573895,-236.669571444095,9.11165871731991,15.1192120860016,1.80826435958746,2.27370325865096,-0.261901100897689,0.477943500122583,2.14353711679731,1.58880423752313,2.02791356557217,1.90035121110314,-0.171520051711414,0.850972588908369,-0.370579192032673,-0.391853129417306,-180.43301109861,6.40424085703372,32.8421987049598,-1.12104427726602,5.15452270685598,-7.0794771923727,-1.52624601446917,-0.593116025552254,-2.98168995676808,-0.680329386799918,-1.57773673453785,1.27420526878,-2.03589363148966,-0.489147128918527,1.22901764430726,-30.0068251961663,-0.680088138178706,36.1132814312783,13.0778431256871,13.8169334403499,4.96225357352998,6.28622419212388,-2.24913165591559,2.93940847785342,-4.05267764618383,2.78924092317226,-3.37731326393403,0.414363852880458,0.99599912992943,-1.24565883956616,10.6113454681933,-41.0338155208011,23.0571081627326,10.8427286150956,9.33697309749124,-1.19820884141366,8.21810037369377,8.08665131476015,-3.25299236274131,-2.80511869070604,2.33855764320304,6.69356292412962,4.25339105571783,3.37211550769206,0.788277078733666,4.35454925242265,2.49303659411368,-0.979574011488956,4.42804068531023,-7.93170581683357,1.03823475845256,-1.94708432417787,3.87278098363592,-1.36065969196059,3.47336477010474,-1.04226926335558,-1.74732303490116,1.92989802627242,-1.29630737599007,1.29598837484132
"DSCN2868",16.973711132002,-3.51508125698829,-3.67639826644748,-2.47232331114674,-5.36475982716212,-2.22185174669441,1.02203915431277,0.372475835271851,-0.381976470484057,1.64002574622954,-0.279420068298979,0.0359219945327288,-0.122299108142052,0.685064287971958,-1.00512922747319,-248.99377326074,5.5055300225611,22.2713431223224,-2.13192225131109,9.76209079708784,-2.35189238655692,1.05752141709537,0.811196844742778,1.37272122380192,1.04739613251419,0.844890129710068,0.404950548189344,0.676411011573751,0.0827077940963196,-0.0715855126593069,-188.866431091241,1.32667994369832,44.7397680150181,2.36346316051308,9.48419284431515,-4.48049685764691,3.307679432192,-3.29157764112283,-0.296469774866914,-2.96033393834015,2.03584677773396,-4.21890725843695,0.404608700277549,0.110259487062778,-1.27634639183919,-17.5298381802433,6.05881173764643,19.885635850207,20.2345214702908,3.98160482672892,15.0020882108075,0.56955338878767,3.52152050504266,-1.49735665157134,3.8926651274367,-3.17772394698303,1.24582005334673,0.661376835775059,-0.612739881156949,-0.330868994532259,14.1721758159991,-80.8308623230117,10.2315148036157,25.29883485277,12.0835874578093,-2.85433612861479,-5.39465211010901,-4.56543414785376,-6.74748796228276,-3.31708271336389,10.568795997648,-0.842771808004635,-0.287425998443094,4.53063960271052,4.45852061061006,-1.07812809169756,0.0563708419186559,0.320416428205239,0.926331823420911,3.85814121690961,-6.70810743678037,-7.01456388131544,4.53719727996553,-2.39900043158227,-2.45288855604151,-4.87957751669615,-3.57126060953657,4.86978415411153,0.694639614735929,-0.479045961444926
"DSCN4140",59.4573896423022,-14.3887759087744,-20.5334054365322,-1.27892352940183,-8.85718261572725,-2.38104121019183,-0.0753908885170246,1.33544448573582,-0.136758938791187,-2.53181567737819,-1.65825832525127,-2.04850313138528,-1.43458215719124,-2.03216144365773,0.571416795424388,-260.654620738139,17.6995905628639,17.5875066984527,-0.303973463380025,-0.152803127570442,1.569018171146,-0.319456957605927,2.61136063031389,0.571397377064318,2.97560031558213,0.987617369990872,-0.428933705793286,-0.153930387854144,0.535835945335426,-0.828792952513692,-187.080391966418,-1.41892384850164,35.9611486739892,-3.48038392653327,4.97638892282536,-16.5107309166379,0.576137474387359,-4.15934546036311,-3.01244308996053,-2.09347441987729,2.28316561647064,-1.35537976841986,0.0706071049248268,1.52259661288278,0.870542879033226,-45.026654354157,1.10460245121983,41.73919623886,22.373268717532,6.99740588789138,11.6458068509664,5.03953523153745,-5.07329273294865,2.78166446423976,-2.02092795733098,2.61636080912388,-5.27193680088065,1.24678291074701,0.494582212110286,-4.01013011616335,37.9348808792931,-32.891302098342,36.3870767961734,17.1297035382137,12.3907468078888,-0.710688693639881,5.49796997375934,-0.322170898537089,2.50297543191791,-12.7152615029143,5.1973364658576,11.0613107099749,-4.21302841820454,1.31003329340519,8.20435303957459,-3.12477851055251,-2.83133938193434,-0.0377640287128876,-1.85854055338655,-3.17276462287114,4.73315423807499,-3.33194135272167,-1.21570987464163,-1.53621396846022,3.46337102846775,2.14987235744779,0.0173508242197986,3.87360642691301,-1.32821143127292,0.0839776248161554
